state,Avg_list_price,Avg_sale_price
CA,3106.62372676,3101.48227162
,3059.49502655,3054.40156022
NULL,3022.40552418,3016.97288799
MD,2935.33649123,2926.20964912
IL,2871.40733333,2865.51515152
CT,2838.10675676,2833.37837838
IA,2837.41111111,2830.25962963
RI,2832.71500000,2796.23875000
NE,2826.78619048,2784.44428571
NC,2801.61896552,2794.65517241
HI,2801.06714286,2797.14285714
TX,2799.35323383,2791.14278607
WA,2777.48500000,2771.50000000
PA,2771.49107143,2763.61607143
UT,2770.99333333,2750.70233333
IN,2761.38878788,2746.83969697
GA,2749.51775000,2739.41350000
DC,2738.80600000,2732.75000000
OR,2734.81205128,2727.82051282
DE,2733.65000000,2730.00000000
MS,2727.04631579,2723.37894737
OH,2722.72718750,2717.08333333
AZ,2709.04578947,2702.28070175
FL,2699.67891473,2693.29457364
CO,2690.51485714,2683.68571429
NJ,2680.92273810,2675.23809524
KS,2676.39606061,2667.20272727
MT,2659.91952381,2649.28571429
ID,2656.07307692,2648.46153846
NH,2655.02000000,2648.57142857
SD,2652.93562500,2646.25000000
MN,2645.08245283,2638.41000000
NY,2616.47050000,2611.50000000
WI,2586.11340426,2578.65010638
TN,2569.23461538,2556.79115385
MI,2564.78403670,2556.58146789
MO,2551.14411765,2545.78431373
VA,2546.87571429,2539.69387755
KY,2539.18845455,2529.27563636
WY,2536.13105263,2519.02842105
AL,2528.31814815,2522.22222222
LA,2508.71896552,2500.51724138
ME,2497.46600000,2492.00000000
AR,2489.08588235,2483.52941176
WV,2482.18812500,2463.59062500
SC,2464.03083333,2457.58375000
MA,2457.69428571,2450.00000000
AK,2432.61615385,2421.92307692
OK,2430.01263158,2425.26315789
ND,2396.89266667,2390.74800000
NV,2390.74120000,2381.40000000
VT,2364.89500000,2356.25000000
NM,2322.46888889,2314.62962963
