storename,Avg_list_price,Avg_sale_price
"SCHANEWOLF'S CYCLE SPORT",6346.00000000,6340.00000000
"MISSION CYCLERY",6315.90000000,6310.00000000
"F & M CYCLERY",5717.93000000,5710.00000000
"MACK CYCLE & FITNESS",5380.19000000,5380.00000000
"BIKE TREK",5329.28000000,5320.00000000
"MYSTIC CYCLE CENTRE",5286.10000000,5280.00000000
"BIGHORN WILDERNESS EQUIPMENT",5218.27000000,5210.00000000
"LA CANADA BICYCLES",5117.65000000,5110.00000000
"J & W BICYCLES",5094.80000000,5090.00000000
"WAVE RAVE SNOWBOARD SHOP",4920.75000000,4920.00000000
"MARTIN'S BICYCLE SHOP",4891.86000000,4890.00000000
"KING'S BIKES & THINGS",4867.70000000,4865.00000000
"BIKE N' HIKE SHOP",4856.93000000,4850.00000000
"DAVID'S WRENCH",4856.93000000,4850.00000000
"BICISPORT BICYCLES",4853.16000000,4850.00000000
"KENT WHEEL & WRENCH BIKE SHOP",4832.64000000,4830.00000000
"CANYON SPORTS OUTLET",4813.46000000,4810.00000000
"BRAD'S BIKE REPAIR",4728.65000000,4720.00000000
"BIKE LINE INC",4657.05000000,4650.00000000
"HOUSTON BIKE SHOP",4625.42000000,4620.00000000
"RECYCLE BIKE SHOP",4614.73000000,4610.00000000
"TOM LANTZ BICYCLE CENTER",4573.18000000,4570.00000000
"RALEIGH BIKESOURCE",4556.39000000,4550.00000000
"WEST U SCHWINN",4520.05333333,4513.33333333
"SHIRAR'S BICYCLE STORE-SOUTH",4515.50333333,4510.00000000
"B & S ENTERPRISES",4497.48000000,4490.00000000
"CONCHO BIKE SHOP",4492.00000000,4490.00000000
"HURRICANE CYCLERY OF TEXAS",4487.77000000,4480.00000000
"WILD WILD WHEELS",4448.25000000,4440.00000000
"PIG IRON BICYCLE-WORKS",4412.19000000,4410.00000000
"CHECK POINT BICYCLE STORE",4393.50000000,4390.00000000
"FREEHOLD BICYCLES",4390.57000000,4390.00000000
RIDE-ON-NEON,4382.10000000,4380.00000000
"WAITS BICYCLE AND FITNESS CTR",4372.66000000,4370.00000000
"BICYCLE PARADISE INC",4362.10500000,4360.00000000
"THE BICYCLE PLACE INC",4348.78000000,4340.00000000
"MORGAN'S CYCLE & FITNESS",4346.60000000,4340.00000000
"ADVENTURE CYCLE & FITNESS INC",4346.60000000,4340.00000000
"CENTRAL SPORTS INC",4339.14000000,4330.00000000
"KEN ARMSTRONG CERT BIKE",4332.70000000,4330.00000000
"T S R MOUNTAIN BIKE RENTAL",4331.87000000,4330.00000000
"THE DUTCHMAN BICYCLES",4308.20000000,4300.00000000
"OAKE'S CYCLE SHOP",4305.28000000,4300.00000000
"BIG WHEEL LTD",4300.42000000,4300.00000000
"DELTA CYCLERY",4293.35000000,4293.35000000
"JOE'S CYCLE CENTER",4270.05000000,4270.00000000
"R T R BICYCLES",4259.84000000,4250.00000000
"TOWN CYCLE",4248.50000000,4240.00000000
"LEBO'S PEDAL PARLOR",4243.43500000,4240.00000000
"ERNIE'S BICYCLE SHOP",4231.64000000,4230.00000000
"BAY VIEW FITNESS & CYCLE",4220.20000000,4220.00000000
"OUTPOST WINDSPORTS",4219.46000000,4210.00000000
"MILLER'S SKI & CYCLE HAUS",4218.69000000,4210.00000000
BIKE-O-RAMA,4207.54000000,4200.00000000
"ROBBY'S BICYCLE SHOP",4204.19000000,4200.00000000
"HOBBIES UNLIMITED",4199.58000000,4190.00000000
"DRUID HILLS BICYCLE SHOP",4197.12000000,4190.00000000
"NORTHWEST CYCLERY",4196.39000000,4190.00000000
"TWO WHEELER DLR CYCL & FITNS",4189.52000000,4180.00000000
"BRANCH BROOK CO",4188.24000000,4180.00000000
"ALAMO CITY BICYCLE SHOP",4162.41000000,4160.00000000
"GRANITE CITY SCHWINN",4146.63000000,4140.00000000
"CAPITOL BICYCLE CENTER INC",4144.30000000,4140.00000000
"MR BIKE SKI AND FITNESS II",4133.63000000,4130.00000000
"MEGA CYCLESPORT",4130.86000000,4130.00000000
"C & S SCHWINN",4126.79000000,4120.00000000
"OZ'S ",4119.78000000,4110.00000000
"ROYAL CYCLERY",4119.65500000,4115.00000000
"CENTER CYCLE",4113.40000000,4110.00000000
"CYCLE-LOGIC SPORTS SHOP",4113.24000000,4110.00000000
"DELAND CYCLERY",4107.84000000,4100.00000000
GRONSKI'S,4102.49000000,4100.00000000
"LAMBERT CYCLE SHOP",4102.49000000,4100.00000000
"BREAKAWAY CYCLES",4095.60000000,4090.00000000
"BEAVER SPORTS",4095.60000000,4090.00000000
"ON TWO WHEELS",4068.79000000,4065.00000000
"BILOXI BICYCLE CENTER",4062.63000000,4060.00000000
"MIKE'S BICYCLE CENTER",4061.03000000,4060.00000000
"VINTAGE BICYCLES",4052.17000000,4050.00000000
"COWART EQUIPMENT CO",4035.15000000,4030.00000000
"RICE STREET BICYCLE",4025.07000000,4020.00000000
"BERNIE'S BICYCLE SHOP",4022.96000000,4020.00000000
"WELLER'S BICYCLES",4015.38000000,4010.00000000
"HALTER'S CYCLE & FITNESS",4007.41000000,4000.00000000
"KATS BICYCLES",3994.49000000,3990.00000000
"GARDEN VALLEY SCHWINN CYCLERY",3993.20000000,3990.00000000
"CHARLOTTE BMX INC",3992.29000000,3990.00000000
"MOUNTAIN RIVER ADVENTURES",3991.86000000,3990.00000000
"GRESHAM BICYCLE CENTER",3991.58000000,3990.00000000
"PROTEUS BIKE & FITNESS",3988.47000000,3980.00000000
"PEDAL PUSHER SKI AND SPORT",3976.95000000,3970.00000000
"SPORT CYCLE",3971.81000000,3970.00000000
"PONY SHOP",3968.47000000,3960.00000000
"H & R BICYCLE HAVEN",3956.16000000,3950.00000000
"PARMA CYCL & SCHWINN FITNS CTR",3955.51000000,3950.00000000
"R C BICYCLE SHOP",3954.72000000,3950.00000000
"BIKE SHOP THE",3953.20000000,3950.00000000
"CHRIS CYCLE CENTER INC",3952.93000000,3950.00000000
