state,storename,num_of_stores,Average_ListPrice
TN,"BEST BICYCLE SHOP",1,3484.80000000
TN,"BICYCLE CENTER OF CLARKSVILLE",5,2624.92200000
TN,"BIKE & SPRT OUTFITTERS",1,2793.36000000
TN,"BTR CYCLE & HOBBIES",6,2673.73333333
TN,"CARBIKE COMPANY",1,2615.49000000
TN,"CROSSTOWN REPAIR SHOP",1,3943.19000000
TN,"CUMBERLAND TRANSIT BICYCLES",2,3014.46500000
TN,"EAST RIDGE BICYCLES",1,2760.50000000
TN,"HARRISON'S BICYCLE SHOP",4,2929.94750000
TN,"INTERWHEEL SPORTS INC",1,2749.56000000
TN,"LIGHTNING CYCLES",3,2901.29666667
TN,"MOUNT MORIAH BICYCLE COMPANY",1,2644.15000000
TN,"MURFREESBORO BICYCLE COMPANY",5,2641.45000000
TN,"NASHVILLE BICYCLE COMPANY",2,2661.34500000
TN,"OAK RIDGE BICYCLE CENTER",1,2725.69000000
TN,"SCHWINN NORRIS BICYCLES",1,3012.27000000
TN,"THE GERMANTOWN BICYCLE SHOP",2,2919.38500000
TN,"VAN CAMP'S BICYCLE SHOP",4,2745.53250000
TN,"XXX SPORTS",2,3729.07000000
