state,storename,num_of_stores,Average_ListPrice
TN,"ABC CYCLE",1,2491.99000000
TN,"ALLANTI CYCLING COMPANY",3,2220.63333333
TN,"BICYCLE JOE'S",3,2238.24000000
TN,"BIKE PEDLAR",2,2258.20000000
TN,"BIKER'S CHOICE",4,2370.10250000
TN,"BOB LADD INC",1,2255.16000000
TN,"BUSTER'S BICYCLE SHOP",1,2098.67000000
TN,"ED'S CYCLES",2,2101.71500000
TN,"MEMPHIS BICYCLE CO",1,2292.21000000
TN,"OUTDOORS INC",2,2010.09000000
TN,"PEDAL SHOP",1,1208.89000000
TN,"PEDDLER BICYCLE SHOP",1,1263.85000000
TN,"ROCKY TOP TRAIL SHOP",1,2274.08000000
TN,"SKEDADDLE BICYCLES",2,2460.20000000
TN,"SMITH'S BIKERY",2,2268.36500000
TN,"SMYRNA BIKES",2,2043.02500000
TN,"SOUTHLAND BICYCLE SHOP",3,2543.60666667
TN,"THE SKI MOGUL INC",2,2293.40000000
