colorname,PaintCount,Sale_price
"Candy Stripe",489,1158192.8300
"Black Speckle",499,1177244.9000
"Black Hole",565,1946290.0000
"Neon Blue",1018,3045131.4400
"Wine Country",1351,4434030.0000
"Sky Fire",1552,4965653.3500
"Copper Haze",1717,5314234.4100
"Fire and Smoke",1822,5459006.1900
"Grey Granite",1866,5582261.6600
"Mountain Green",1876,5599458.2200
"Morning Sun",1911,5716379.1100
"Hazard Flame",1956,5890686.5700
"Sea Green Fade",1969,5885537.3500
"Purple Accent",1975,5888924.7300
"Arctic White",2031,6111505.5900
NULL,22597,68174536.3500
