storename,paintcount,sumsaleprice
"THE PEDAL HOUSE",1,961.5400
"BEVERLY FENCE CO",1,1250.0000
BIKESOURCE,1,1350.0000
"OZARK BIKE SHOP",1,1350.0000
WHEATON'S,1,1400.0000
"EXPEDITION OUTFITTERS",1,1450.0000
"NELTNER'S TIRE CENTER",1,1475.0000
"ALS QCK RELEASE BIKE RPR",1,1560.0000
"BILL'S BIKE SHOP",1,1570.0000
"BERNARDO RANCHO BICYCLE CENTER",1,1575.0000
"DAYE'S SALES & SERVICE",1,1580.0000
"HOLLAND'S BICYCLES",1,1580.0000
"WEST SIDE RECREATION",1,1580.0000
"MEADOWLANDS CYCLE CENTER",1,1590.0000
"BICYCLE EXPRESS LTD",1,1600.0000
"THE CYCLERY",1,1600.0000
"ANDY JORDAN'S BICYCLE CENTER",1,1610.0000
"CYCLEPATH SCHWINN CYCLERY",1,1620.0000
"VAN CAMP'S BICYCLE SHOP",1,1650.0000
"DRITZ CYCLERY",1,1650.0000
"VILLAGE CYCLERY",1,1670.0000
"BICYCLE CENTER OF CLARKSVILLE",1,1675.0000
"BICYCLE WORLD INC",1,1680.0000
"PROFESSIONAL BIKE SERVICE",1,1700.0000
"ECONOMY BICYCLE SHOP",1,1710.0000
"THE BIKE PEDDLER",1,1710.0000
"BAER WHEELS",1,1710.0000
"WHEELCRAFT LTD RTE",1,1730.0000
"KETTERING BIKE SHOP",1,1730.0000
"ROMAN'S BICYCLE SERVICE",1,1730.0000
"THE BIKE STAND",1,1730.0000
"WHEELS OF WELLINGTON",1,1740.0000
"BADEN BIKE CENTER",1,1740.0000
"BRIGGS BICYCLES",1,1740.0000
"SLOUGH'S BIKE SHOPPE",1,1760.0000
"TRI SPORTS INC",1,1770.0000
"PRECISION BICYCLE",1,1770.0000
"VALLEY CYCLING & FITNESS",1,1770.0000
"TEAM BIG BEAR MTN BIKE CTR",1,1770.0000
"SMALLIGAN'S BICYCLES",1,1790.0000
"CYCLERY OF RANCHO BERNARDO",1,1810.0000
"OSHKOSH CYCLERY INC",1,1860.0000
"ED'S BIKE SHOP",1,1860.0000
"OXFORD BICYCLE COMPANY",1,1870.0000
"NORTHAMPTON CYCLERY",1,1870.0000
"JIM'S BIKE SHOP",1,1880.0000
"MIKE'S BIKE SHOP",1,1910.0000
"BOLSA CHICA BICYCLES",1,1910.0000
"BICYCLE THERAPY",1,1940.0000
"BICYCLES USA",1,1960.0000
"BICYCLE VILLAGE",1,1960.0000
"LIFECYCLE SPORTS INC",1,1960.0000
"TOWN & COUNTRY BICYCLE SHOP",1,1975.0000
"HELLEBUYCKS BIKE & MWR CTR INC",1,1980.0000
"GARNER'S PRO BICYCLE SHOP",1,2010.0000
"TURIN BICYCLE CO-OP",1,2020.0000
"ORLAND PARK SCHWINN CYCLERY",1,2040.0000
"NORTH STAR CYCLERY",1,2040.0000
"KENTWOOD SCHWINN CYCLING",1,2040.0000
"DAKOTA CYCLERY",1,2050.0000
"BUY MY BIKES",1,2050.0000
"ADDISON CYCLE CNTR LTD",1,2060.0000
"BEACH FRONT CYCLERY",1,2080.0000
"HENRY'S BIKE SHOP",1,2080.0000
"PORT CHARLOTTE CYCLERY",1,2080.0000
"WEST END BICYCLES",1,2090.0000
"PEOPLES SPORTING GOODS",1,2090.0000
"TOWPATH BIKE STOP",1,2090.0000
"PMJ BICYCLE & SAFETY SUPL INC",1,2090.0000
"REST STOP BICYCLE ACCESSORIES",1,2110.0000
"NEW GLASGOW CYCLE WORKS",1,2110.0000
"PEDAL PRO'S",1,2120.0000
"KEN'S BIKE SHOP",1,2120.0000
"RIDE ON SPORTS",1,2140.0000
"HUFFY SERVICE FIRST",1,2150.0000
"JOHNSON'S CYCLE & FITNESS INC",1,2151.9000
"BIKE RACK HUMPALS",1,2160.0000
"GEORGE'S REPAIR SHOP",1,2160.0000
"CAMPUS CYCLE WORKS INC",1,2160.0000
"RELIABLE CYCLE INC",1,2180.0000
"THE BIKE PEDALER",1,2180.0000
"PORTAGE SCHWINN CYCLERY",1,2190.0000
"BIKE SHOP ON GRAND",1,2210.0000
"ACTIONSPORT CYCLERY",1,2220.0000
"COMPETITIVE EDGE",1,2230.0000
"MAPLEWOOD BICYCLE",1,2270.0000
"ART DOYLE'S SPOKES & PEDALS",1,2270.0000
"NEWBERG BICYCLE SHOPPE",1,2270.0000
"CHALLENGE SCHWINN NORTHLAKE",1,2275.0000
"GALE WINDSURFING WINDS",1,2280.0000
"NAT'S OUTDOOR SPORTS",1,2280.0000
"A A JACK'S BIKE SHOP",1,2280.0000
"MARIN MOUNTAIN BIKES",1,2290.0000
"SCORPION BICYCLE",1,2290.0000
"OPEN AIR BICYCLES",1,2300.0000
"DANDOS BICYCLE CENTER",1,2310.0000
"C T M MASTER",1,2310.0000
"COPPI FAUSTO",1,2330.0000
"BOERNE BICYCLE SHOPPE INC",1,2360.0000
"R & D ENTERPRISES",1,2370.0000
"BICYCLE QUEST & COLLECTABLES",1,2380.0000
"THE BICYCLE SHACK",1,2390.0000
"RAY TAKSAR BICYCLES",1,2390.0000
"LORI'S INC",1,2390.0000
"FRIDLEY HTS SCHWINN CYCLERY",1,2410.0000
"DENNY'S CYCLING & FITNESS",1,2410.0000
"ARIRANG BICYCLE",1,2410.0000
"BICYCLES BY CLEAN MACHINE",1,2410.0000
"KOBUSH MARINA JCT",1,2410.0000
"BIKE SHOP NE CYCLERY INC",1,2420.0000
"ROSWELL SCHWINN CYCLERY",1,2420.0000
"REVOLUTIONS INC",1,2420.0000
"BAY SPORTS",1,2420.0000
"SOUTH LYON CYCLE & SPORTS",1,2430.0000
"JOSELYN'S BICYCLES",1,2430.0000
"INKY'S SCHWINN BICYCLE INC",1,2440.0000
"JML SALES CO",1,2450.0000
"KING'S CYCLERY",1,2450.0000
"BICYCLE SPORT",1,2450.0000
"CHICO'S BICYCLE SHOP",1,2450.0000
"U S LIYANG A INC",1,2450.0000
"ONTARIO BICYCLE",1,2450.0000
"HAWK RACING INC",1,2450.0000
"MIDWEST CYCLERY",1,2460.0000
"HOME TOWN SPORTS",1,2460.0000
"BICYCLE CENTER",1,2460.0000
"BIKE WORLD DON JOHLE'S",1,2460.0000
"KRISTI MOUNTAIN SPORTS",1,2460.0000
"BIKE STOP",1,2470.0000
"SOUTHLAND BICYCLE SHOP",1,2470.0000
"OUTDOOR VENTURES SCHWINN",1,2480.0000
"BIKE CENTER",1,2480.0000
"HIGH'S CYCLE CENTER",1,2480.0000
"BIKE AMBULANCE",1,2480.0000
"THE BIKE RACK",1,2490.0000
"CROSS COUNTRY CYCLING CENTER",1,2500.0000
"ZIMMERMAN'S BIKE SHOP",1,2500.0000
"BICYCLE CLINIC",1,2500.0000
"HI-TECH CYCLES",1,2500.0000
"PEDAL PUSHERS BICYCLE",1,2500.0000
"GATTO CYCLE SHOP",1,2510.0000
"HIGHROLLER CYCLERY INC",1,2510.0000
"MAJOR MOTOR SUPPLY CO",1,2520.0000
"BICYCLE EXPRESS",1,2530.0000
"BAYNESVILLE BICYCLE SERVICE",1,2540.0000
"CHESTERTON BICYCLE STATION",1,2600.0000
"THE PEDDLER",1,2610.0000
"O'NEAL'S CYCLERY",1,2620.0000
"BESTWAY RACING",1,2630.0000
"COMPLETE BUILDING MATERIALS CO",1,2630.0000
"JAY'S PEDAL POWER BICYCLE SHOP",1,2640.0000
