storename,paintcount,sumsaleprice
Walk-In,255,572650.0000
"Direct Sales",69,166370.0000
"BTR CYCLE & HOBBIES",3,9340.0000
"NELTNER'S TIRE CENTER",3,8750.0000
"PRECISION BICYCLE",3,8480.0000
"KID COUNTRY",2,6950.0000
"BIKEWORLD INC",2,6400.0000
"BLUEGRASS CYCLE",2,6390.0000
"BONZAI SPORTS CENTER",2,6030.0000
"DAKOTA CYCLERY",2,5970.0000
"MONTGOMERY CYCLERY INC",2,5770.0000
"BIKES AND MOORE",3,5645.0000
"IMMEL BICYCLE CENTER",2,5630.0000
"BIKE TECH",2,5490.0000
"EADS SUPPLY & CYCLE SALES",2,4900.0000
"OXFORD BICYCLE COMPANY",2,4730.0000
"SPORT CHALET",2,4380.0000
"MORGAN'S CYCLE & FITNESS",1,4340.0000
"KESSLER'S BICYCLE CENTER",1,4180.0000
"BRANCH BROOK CO",1,4180.0000
"GNO CYCLERY",1,4050.0000
"BIKES N BARGAINS",2,4000.0000
"BIKE SHOP THE",1,3950.0000
"DOWNRIVER CYCLE CENTER",1,3920.0000
"ROBINSON'S BICYCLE SHOP",1,3900.0000
"BIKER'S CHOICE",1,3650.0000
"JAYHAWK PAWN & JEWELRY",1,3620.0000
"BOHEMIAN BICYCLES",1,3590.0000
"HOUSE OF BIKES",2,3580.0000
"BIKES PLUS",1,3510.0000
GIBSON'S,1,3480.0000
"RIVERSIDE BIKE & SKATE",1,3470.0000
"RRB CYCLES LTD",1,3470.0000
"VAIL BICYCLE SERVICES-VBS",1,3460.0000
"MURFREESBORO BICYCLE COMPANY",1,3450.0000
"XXX SPORTS",1,3440.0000
"BIKE WORKS CYCLING & FITNESS",1,3430.0000
"BANGTAIL BIKES",1,3420.0000
"NOW SPORTS INC",1,3410.0000
"CAPITOL BICYCLES",1,3380.0000
"THORNES BEDFORD BICYCLE CENTER",1,3370.0000
"EASTSIDE BIKE",1,3350.0000
"LAWVER'S BICYCLE SHOP",1,3330.0000
"BIGHORN BIKE SHOP",1,3270.0000
"RAINBOW CYCLE SPORT INC",1,3220.0000
BIKESPORT,1,3200.0000
"PEDLING FOOL",1,3170.0000
"MIKE'S BIKES OF WALDORF",1,3150.0000
"MARTIN I IMPORTS BICYCLES",1,3110.0000
"TRIMSPORT CYCLE",1,3000.0000
"SADIUM BIKE & SKATE",1,3000.0000
"OZARK BIKE SHOP",1,2990.0000
"OWENSBORO SCHWINN CYCLERY",1,2980.0000
"TURIN BICYCLE EVANSTON LTD",1,2980.0000
"BIKE CENTER OF SHEM CREEK",1,2860.0000
"FLYTHE CYCLERY",1,2830.0000
"ED'S BICYCLE SHOP",1,2780.0000
"BICYCLE STATION",1,2740.0000
"LIGHTNING CYCLES",1,2700.0000
"PEDERSEN'S SKI & SPORTS ",1,2660.0000
"BREAKAWAY CYCLERY",1,2660.0000
"OPEN AIR BICYCLES",1,2650.0000
"THE PATHFINDER",1,2650.0000
"BIKES AMERICA",1,2650.0000
"WRIGHT BROS CYCLERY & FITNS",1,2600.0000
"SMITH'S BIKERY",1,2580.0000
"BIKE BROKER INC",1,2460.0000
"BIKES ETC",1,2410.0000
"BIKE WORKS",1,2410.0000
"KRAYNICK'S BIKE SHOP",1,2400.0000
"DREXEL HILL CYCLERY",1,2390.0000
"VAN CAMP'S BICYCLE SHOP",1,2380.0000
"BIKES BY THE BAY",1,2380.0000
PRO-BIKE,1,2380.0000
"MILTON CYCLERY",1,2370.0000
"NORDA'S MOUNTAIN OUTFITTERS",1,2370.0000
"BICYCLE WORLD",1,2370.0000
"AAAA BIKE SHOP",1,2370.0000
"FENSONS GRT OUTDOORS BIKE",1,2370.0000
"BIKE SHOP",1,2360.0000
"PEOPLES SPORTING GOODS",1,2360.0000
"ISLAND PARK CYCLES",1,2360.0000
"ROBERT F SNOW & SON",1,2350.0000
"PACK RAT OUTDOOR CENTER",1,2350.0000
"THE BICYCLE SHOP",1,2340.0000
"DANVILLE BIKE & FITNESS",1,2340.0000
HYDRO-BIKES,1,2330.0000
"ADVENTURE CYCLES INC",1,2300.0000
"INTOWN BICYCLES",1,2300.0000
"MEMPHIS BICYCLE CO",1,2290.0000
"MIDDLETON CYCLE AND FITNESS",1,2290.0000
"R & R BICYCLE FITNESS STORE AZ",1,2280.0000
"ROCKY TOP TRAIL SHOP",1,2270.0000
"CYCLE CENTER",1,2250.0000
"BIKESPORT INC",1,2250.0000
"HIGHLAND CYCLE INC",1,2230.0000
"BILL FREUND OLYMPIC SCHWINN",1,2220.0000
"COFFEY'S BICYCLE SALES",1,2220.0000
"VILLAGE BICYCLE SHOP",1,2220.0000
"PIT STOP BIKE SHOP",1,2210.0000
"CHICAGOLAND BICYCLE & FITNESS",1,2200.0000
"BIKE LINE",1,2200.0000
"DAVID'S CYCLES",1,2190.0000
"BIKE CENTER OF ORANGE COUNTY",1,2190.0000
"SCHOLL'S BICYCLE CENTER",1,2160.0000
"ADVENTURE BICYCLE COMPANY",1,2140.0000
"VILLAGE BICYCLE CENTER",1,2140.0000
PAT'S,1,2120.0000
"TAILWIND CYCLING CENTER",1,2120.0000
"RST SHOCKS",1,2120.0000
"DC CYCLERY & FITNESS",1,2110.0000
"ASHLAND BICYCLE CENTER",1,2100.0000
"BICYCLE EXPRESS LTD",1,2080.0000
"DON'S BIKE REPAIR",1,2020.0000
"AL'S CYCLERY & FITNESS",1,1970.0000
"SOUTHWEST BIKE SHOP",1,1960.0000
"DAKOTA OUTDOORS",1,1960.0000
"BICYCLE SOUTH WINDSOR",1,1925.0000
"DR SPOKES CYCLERY",1,1910.0000
"JAX BICYCLE CENTER",1,1910.0000
"GEORGE'S CYCLE SHOP",1,1890.0000
"CALIFORNIA BIKE & SNOWBOARD",1,1880.0000
"WHEELER'S CYCLE & FITNESS",1,1870.0000
"PAUL'S BICYCLE WAY OF LIFE",1,1870.0000
"ROB AND CHARLIE'S",1,1840.0000
"GARDENSWARTZ SPORTZ",1,1830.0000
"THE WHEEL CYCLERY",1,1800.0000
"GENERAL SURPLUS COMPANY",1,1775.0000
"MIKE'S BIKE SHOP",1,1750.0000
"BEN'S CYCLE AND FITNESS CENTER",1,1700.0000
"IN COMPETITION ACTIVE SPORTS",1,1700.0000
"JERRY'S BICYCLES & FITNESS",1,1700.0000
"TWIN BICYCLE",1,1680.0000
"OCEANFRONT BICYCLES",1,1640.0000
"WARES CYCLE & FITNESS",1,1620.0000
"NORTH KENT SCHWINN",1,1620.0000
BIKESOURCE,1,1610.0000
"TEXAS SPORT CYCLERY",1,1610.0000
"ALLANTI CYCLING COMPANY",1,1602.8300
TRIATHLETE,1,1590.0000
"REI-RECREATIONAL EQUIPMENT INC",1,1550.0000
"OUTDOOR ADVENTURES",1,1275.0000
"PEDAL POWER BIKE SHOP",1,1250.0000
"RAINBOW CYCLES",1,1200.0000
"ACTION BIKE SHOP",1,1200.0000
"PEDAL SHOP",1,1200.0000
