storename,colorname,sumsaleprice
"RAINBOW CYCLES","Candy Stripe",1200.0000
"ACTION BIKE SHOP","Candy Stripe",1200.0000
"PEDAL SHOP","Candy Stripe",1200.0000
"PEDAL POWER BIKE SHOP","Candy Stripe",1250.0000
"OUTDOOR ADVENTURES","Candy Stripe",1275.0000
"REI-RECREATIONAL EQUIPMENT INC","Candy Stripe",1550.0000
TRIATHLETE,"Candy Stripe",1590.0000
"ALLANTI CYCLING COMPANY","Candy Stripe",1602.8300
BIKESOURCE,"Candy Stripe",1610.0000
"TEXAS SPORT CYCLERY","Candy Stripe",1610.0000
"WARES CYCLE & FITNESS","Candy Stripe",1620.0000
"NORTH KENT SCHWINN","Candy Stripe",1620.0000
"OCEANFRONT BICYCLES","Candy Stripe",1640.0000
"TWIN BICYCLE","Candy Stripe",1680.0000
"BEN'S CYCLE AND FITNESS CENTER","Candy Stripe",1700.0000
"IN COMPETITION ACTIVE SPORTS","Candy Stripe",1700.0000
"JERRY'S BICYCLES & FITNESS","Candy Stripe",1700.0000
"MIKE'S BIKE SHOP","Candy Stripe",1750.0000
"GENERAL SURPLUS COMPANY","Candy Stripe",1775.0000
"THE WHEEL CYCLERY","Candy Stripe",1800.0000
"GARDENSWARTZ SPORTZ","Candy Stripe",1830.0000
"ROB AND CHARLIE'S","Candy Stripe",1840.0000
"WHEELER'S CYCLE & FITNESS","Candy Stripe",1870.0000
"PAUL'S BICYCLE WAY OF LIFE","Candy Stripe",1870.0000
"CALIFORNIA BIKE & SNOWBOARD","Candy Stripe",1880.0000
"GEORGE'S CYCLE SHOP","Candy Stripe",1890.0000
"DR SPOKES CYCLERY","Candy Stripe",1910.0000
"JAX BICYCLE CENTER","Candy Stripe",1910.0000
"BICYCLE SOUTH WINDSOR","Candy Stripe",1925.0000
"SOUTHWEST BIKE SHOP","Candy Stripe",1960.0000
"DAKOTA OUTDOORS","Candy Stripe",1960.0000
"AL'S CYCLERY & FITNESS","Candy Stripe",1970.0000
"DON'S BIKE REPAIR","Candy Stripe",2020.0000
"BICYCLE EXPRESS LTD","Candy Stripe",2080.0000
"ASHLAND BICYCLE CENTER","Candy Stripe",2100.0000
"DC CYCLERY & FITNESS","Candy Stripe",2110.0000
PAT'S,"Candy Stripe",2120.0000
"TAILWIND CYCLING CENTER","Candy Stripe",2120.0000
"RST SHOCKS","Candy Stripe",2120.0000
"ADVENTURE BICYCLE COMPANY","Candy Stripe",2140.0000
"VILLAGE BICYCLE CENTER","Candy Stripe",2140.0000
"SCHOLL'S BICYCLE CENTER","Candy Stripe",2160.0000
"DAVID'S CYCLES","Candy Stripe",2190.0000
"BIKE CENTER OF ORANGE COUNTY","Candy Stripe",2190.0000
"CHICAGOLAND BICYCLE & FITNESS","Candy Stripe",2200.0000
"BIKE LINE","Candy Stripe",2200.0000
"PIT STOP BIKE SHOP","Candy Stripe",2210.0000
