State,partname,Count,SumSales
NULL,NULL,19431,55865858.1700
,"Front derailleur",16389,47718962.2800
,NULL,16389,47718962.2800
CA,"Front derailleur",1089,3260343.5700
CA,NULL,1089,3260343.5700
TX,"Front derailleur",165,429868.2600
TX,NULL,165,429868.2600
KY,"Front derailleur",175,401090.6400
KY,NULL,175,401090.6400
IL,"Front derailleur",140,376820.0000
IL,NULL,140,376820.0000
FL,"Front derailleur",108,273915.0000
FL,NULL,108,273915.0000
PA,"Front derailleur",90,235175.0000
PA,NULL,90,235175.0000
MI,"Front derailleur",90,213287.3800
MI,NULL,90,213287.3800
OH,"Front derailleur",81,205780.0000
OH,NULL,81,205780.0000
WI,"Front derailleur",79,189933.1100
WI,NULL,79,189933.1100
NJ,"Front derailleur",73,184810.0000
NJ,NULL,73,184810.0000
TN,"Front derailleur",64,152589.7100
TN,NULL,64,152589.7100
AZ,"Front derailleur",49,126230.0000
AZ,NULL,49,126230.0000
NC,"Front derailleur",46,118570.0000
NC,NULL,46,118570.0000
MD,"Front derailleur",43,118445.0000
MD,NULL,43,118445.0000
MN,"Front derailleur",44,108152.6600
MN,NULL,44,108152.6600
VA,"Front derailleur",44,106455.0000
VA,NULL,44,106455.0000
MO,"Front derailleur",43,102355.0000
MO,NULL,43,102355.0000
OR,"Front derailleur",36,97115.0000
OR,NULL,36,97115.0000
CT,"Front derailleur",34,94915.0000
CT,NULL,34,94915.0000
WA,"Front derailleur",34,92410.0000
WA,NULL,34,92410.0000
GA,"Front derailleur",32,83306.5400
GA,NULL,32,83306.5400
IN,"Front derailleur",30,79105.7100
IN,NULL,30,79105.7100
KS,"Front derailleur",30,78017.6900
KS,NULL,30,78017.6900
LA,"Front derailleur",27,66235.0000
LA,NULL,27,66235.0000
CO,"Front derailleur",25,61584.0000
CO,NULL,25,61584.0000
UT,"Front derailleur",23,56811.0700
UT,NULL,23,56811.0700
DC,"Front derailleur",20,54655.0000
DC,NULL,20,54655.0000
NM,"Front derailleur",24,52475.0000
NM,NULL,24,52475.0000
NV,"Front derailleur",22,48775.0000
NV,NULL,22,48775.0000
NY,"Front derailleur",19,48520.0000
NY,NULL,19,48520.0000
AL,"Front derailleur",21,48220.0000
AL,NULL,21,48220.0000
IA,"Front derailleur",19,47535.0000
IA,NULL,19,47535.0000
SC,"Front derailleur",20,45917.0100
SC,NULL,20,45917.0100
MT,"Front derailleur",17,42115.0000
MT,NULL,17,42115.0000
WY,"Front derailleur",17,40911.5400
WY,NULL,17,40911.5400
NE,"Front derailleur",16,40843.3300
NE,NULL,16,40843.3300
MS,"Front derailleur",16,39480.0000
MS,NULL,16,39480.0000
ND,"Front derailleur",15,35861.2200
ND,NULL,15,35861.2200
WV,"Front derailleur",15,35537.4500
WV,NULL,15,35537.4500
AR,"Front derailleur",15,35390.0000
AR,NULL,15,35390.0000
OK,"Front derailleur",15,33200.0000
OK,NULL,15,33200.0000
SD,"Front derailleur",13,30310.0000
SD,NULL,13,30310.0000
ID,"Front derailleur",11,27610.0000
ID,NULL,11,27610.0000
AK,"Front derailleur",12,27235.0000
AK,NULL,12,27235.0000
VT,"Front derailleur",11,24625.0000
VT,NULL,11,24625.0000
HI,"Front derailleur",6,16220.0000
HI,NULL,6,16220.0000
RI,"Front derailleur",6,14660.0000
RI,NULL,6,14660.0000
ME,"Front derailleur",5,12460.0000
ME,NULL,5,12460.0000
NH,"Front derailleur",5,11870.0000
NH,NULL,5,11870.0000
MA,"Front derailleur",5,10960.0000
MA,NULL,5,10960.0000
DE,"Front derailleur",3,8190.0000
DE,NULL,3,8190.0000
