storename,Count,SUM(p.saleprice)
"BUDGET PRO BICYCLES",69,223780.0000
"BICYCLE DOCTOR",52,169500.0000
"PERFORMANCE BICYCLE SHOP",44,138404.0000
"SPORT CHALET",38,121540.0000
"SCHWINN DENNISON CYCLERY",37,116160.0000
"SOMOZA'S BIKE SHOP",35,109170.0000
"THE ANNEX",34,113490.0000
"HELEN'S CYCLES",33,102590.0000
"COLLINS BICYCLE SHOP",33,112860.0000
"FLORENCE CYCLE SHOP",33,102240.0000
"TWIN BICYCLE",33,103940.0000
"HENRY'S BIKE SHOP",32,104370.0000
"TONY'S SCHWINN BIKE SHOP",32,92880.0000
"PALMS CYCLE",32,114920.0000
"THE FRENCH BICYCLE SHOP",32,107710.0000
"MARTIN I IMPORTS BICYCLES",31,96700.0000
"SAFETY CYCLE SHOP",31,99750.0000
"EL PEDAL DE ORO",31,100900.0000
"BIKECOLOGY SANTA MONICA",31,102910.0000
"BEVERLY HILLS BIKE SHOP",31,104640.0000
TRIATHLETE,30,99710.0000
"BIKECOLOGY BIKE SHOPS",28,96000.0000
"TOM'S WHEELWORKS BICYCLE SHOP",28,91200.0000
"ADAMS MOPEDS & BICYCLES",27,80780.0000
"MONTGOMERY CYCLERY INC",24,65090.0000
"SPOKES 'N STUFF",24,78130.0000
"SOCKS PLUS",23,75160.0000
"NELTNER'S TIRE CENTER",21,47310.0000
"WRIGHT BROS CYCLERY & FITNS",18,46335.0000
"BLUEGRASS CYCLE",18,39365.0000
"A BICYCLE STATION",17,50520.0000
"BIKES AND MOORE",15,39925.0000
"REI-RECREATIONAL EQUIPMENT INC",14,35725.0000
"THE BIKE SHOP",13,35315.7100
"EADS SUPPLY & CYCLE SALES",12,35600.0000
"WHEEL WORLD CYCLES",12,44050.0000
"BIKES USA",11,31335.0000
BIKESOURCE,11,25860.0000
"DAVE'S CYCLE SHOP",10,26190.0000
"BIKES N BARGAINS",10,23901.6600
"BIKE WORLD",10,25510.0000
"HIGHLAND CYCLE INC",10,25980.0000
SPORTMART,10,27740.0000
"BICYCLES ETC",9,22620.0000
"KOZY'S CYCLERY AND FITNESS",8,24665.0000
"MAJOR MOTOR SUPPLY CO",8,22890.0000
"THE BIKE RACK",8,17900.0000
"NOVA CYCLING & FITNESS",8,19890.0000
"BIKE ROUTE",7,19510.0000
"BIKE LINE",7,16420.0000
"THE BICYCLE SHOP",7,19270.0000
"BIKE WORKS",7,19880.0000
"BIKE TECH",7,20590.0000
"RRB CYCLES LTD",7,18490.0000
"PEDALS PLUS BICYCLE SHOP",7,17600.0000
"OUTDOOR VENTURES SCHWINN",7,13919.8500
"THE BIKE ROUTE",7,17420.0000
"ED'S BICYCLE SHOP",6,14615.0000
"FLYTHE CYCLERY",6,13585.0000
"PRECISION BICYCLE",6,15230.0000
"DAKOTA OUTDOORS",6,16310.0000
"HOG WILD BICYCLES",6,15370.0000
"BTR CYCLE & HOBBIES",6,15970.0000
"BIKE & FITNESS CENTER",6,14440.0000
"BICYCLE EXPRESS LTD",6,14555.0000
"OPEN AIR BICYCLES",6,15330.0000
"KING'S CYCLERY",6,16489.9100
"MILLER'S CYCLING & FITNESS",6,15460.0000
"CYCLE CENTER",6,13840.0000
"MIKE'S BIKES",6,16040.0000
"BICYCLE CENTER OF CLARKSVILLE",5,13085.0000
